,id,address,tower_name,building_type,rooms,garages,useful_area,latitude,longitude,point_estimate,minimum_estimate,maximum_estimate
19515,19515,"Rua Francisco Leitao, 635",Torre única,Apartamento,3,1,148,-23.55949770,-46.68250850,1452160,1234340,1669980
19516,19516,"Rua Francisco Leitao, 640",Torre única,Apartamento,1,1,57,-23.55941430,-46.68242740,711108,590220,839108
19517,19517,"Rua Francisco Leitao, 654",Torre única,Apartamento,2,2,63,-23.55928740,-46.68251600,939458,779750,1108560
19518,19518,1,Torre única,Apartamento,1,1,58,-23.55926110,-46.68275490,792675,673774,911577
19519,19519,1,Torre única,Apartamento,2,2,109,-23.55926110,-46.68275490,1489680,1266230,1713140
19520,19520,1,Torre única,Apartamento,3,1,167,-23.55926110,-46.68275490,2282360,1940000,2624710
19521,19521,"Rua Francisco Leitao, 678",Torre única,Apartamento,2,1,72,-23.55915270,-46.68269520,721028,612874,829182
19522,19522,"Rua Francisco Leitao, 83",Torre única,Apartamento,2,-1,95,-23.56372660,-46.67967350,1185180,983700,1398510
19523,19523,"Rua Francisco Leitao, 97",Torre única,Apartamento,2,1,84,-23.56361950,-46.67967880,802425,682061,922788
19524,19524,"Rua Francisco Leitao, 97",Torre única,Cobertura,3,2,170,-23.56361950,-46.67967880,1623950,1380360,1867550
19525,19525,"Rua Francisco Lipi, 1206",Torre única,Apartamento,2,1,54,-23.49085640,-46.59833500,-1,-1,-1
19526,19526,"Rua Francisco Lipi, 257",Torre única,Apartamento,-1,-1,-1,-23.49090700,-46.60767800,-1,-1,-1
19527,19527,"Rua Francisco Lipi, 529",Torre única,Apartamento,2,2,65,-23.49128620,-46.60517420,-1,-1,-1
19528,19528,"Rua Francisco Lipi, 529",Torre única,Apartamento,3,2,87,-23.49128620,-46.60517420,-1,-1,-1
19529,19529,Torre B,Jardim das Azaléias,Apartamento,3,1,70,-23.51359910,-46.68909680,649813,552341,747285
19530,19530,Bosque,Torre única,Apartamento,1,-1,42,-23.51500780,-46.68853590,492117,408458,580699
19531,19531,Bosque,Torre única,Apartamento,2,-1,43,-23.51500780,-46.68853590,503835,418183,594525
19532,19532,Arvoredo,Torre única,Apartamento,-1,-1,-1,-23.51276210,-46.68795990,-1,-1,-1
19533,19533,Unic,Fatto Exclusive Morumbi,Apartamento,3,2,72,-23.61008950,-46.73834960,635323,540025,730622
19534,19534,Unic,Fatto Exclusive Morumbi,Apartamento,4,2,102,-23.61008950,-46.73834960,900041,765035,1035050
19535,19535,Unic,Fatto Exclusive Morumbi,Cobertura,3,2,125,-23.61008950,-46.73834960,1102990,937543,1268440
19536,19536,Unic,Fatto Exclusive Morumbi,Apartamento,3,2,132,-23.61008950,-46.73834960,1164760,990045,1339470
19537,19537,Unic,Fatto Exclusive Morumbi,Apartamento,4,2,136,-23.61008950,-46.73834960,1200060,1020050,1380060
19538,19538,Unic,Fatto Exclusive Morumbi,Cobertura,4,2,188,-23.61008950,-46.73834960,1658900,1410060,1907730
19539,19539,Unic,Fatto Exclusive Morumbi,Cobertura,4,2,197,-23.61008950,-46.73834960,1738320,1477570,1999060
19540,19540,"Rua Francisco Marengo, 1511",Torre única,Apartamento,-1,-1,-1,-23.55052520,-46.55713610,-1,-1,-1
19541,19541,"Rua Francisco Marengo, 764",Torre única,Apartamento,3,1,100,-23.54403080,-46.55879340,589310,489127,695386
19542,19542,Torre New York,Torre única,Conjunto,-1,1,59,-23.52560300,-46.67653400,-1,-1,-1
19543,19543,Torre New York,Torre única,Conjunto,-1,1,158,-23.52560300,-46.67653400,-1,-1,-1
19544,19544,"Av. Francisco Matarazzo, 175",Torre única,Conjunto,-1,-1,-1,-23.53127790,-46.66530250,-1,-1,-1
19545,19545,B2,A1,Apartamento,4,3,168,-23.52522800,-46.67921900,1968470,1633830,2322790
19546,19546,B2,A2,Apartamento,4,2,168,-23.52522800,-46.67921900,1968470,1633830,2322790
19547,19547,B2,B1,Apartamento,4,1,128,-23.52522800,-46.67921900,1296600,1102110,1491090
19548,19548,B2,B2,Apartamento,4,1,128,-23.52522800,-46.67921900,1499790,1244820,1769750
19549,19549,"Av. Francisco Matarazzo, 1752",Torre única,Conjunto,-1,1,37,-23.52523230,-46.67925660,-1,-1,-1
19550,19550,"Av. Francisco Matarazzo, 1752",Torre única,Conjunto,-1,2,1022,-23.52523230,-46.67925660,-1,-1,-1
19551,19551,Torre 1,Torre única,Apartamento,-1,-1,-1,-23.53160700,-46.66392500,-1,-1,-1
19552,19552,Torre 1,Torre única,Apartamento,-1,-1,-1,-23.53160700,-46.66392500,-1,-1,-1
19553,19553,"Av. Francisco Matarazzo, 404",Torre única,Conjunto,-1,-1,-1,-23.52969400,-46.66693800,-1,-1,-1
19554,19554,Torre 1,Torre única,Apartamento,-1,-1,-1,-23.53164900,-46.66399100,-1,-1,-1
19555,19555,Torre 1,Torre única,Apartamento,-1,-1,-1,-23.53164900,-46.66399100,-1,-1,-1
19556,19556,"Av. Francisco Matarazzo, 999",Torre única,Conjunto,-1,-1,-1,-23.52739780,-46.67217570,-1,-1,-1
19557,19557,"Av. Francisco Nóbrega Barbosa, 200",-,Apartamento,3,1,75,-23.66922650,-46.72925080,-1,-1,-1
19558,19558,"Av. Francisco Nóbrega Barbosa, 200",-,Apartamento,2,1,75,-23.66922650,-46.72925080,-1,-1,-1
19559,19559,Torre 1,Torre única,Apartamento,-1,-1,-1,-23.54984710,-46.74690720,-1,-1,-1
19560,19560,Torre 1,Torre única,Apartamento,-1,-1,-1,-23.54984710,-46.74690720,-1,-1,-1
19561,19561,"Rua Francisco Pessoa, 575",Torre única,Apartamento,1,1,55,-23.62754820,-46.74063150,-1,-1,-1
19562,19562,"Rua Francisco Pessoa, 575",Torre única,Apartamento,2,2,74,-23.62754820,-46.74063150,-1,-1,-1
19563,19563,"Rua Francisco Pessoa, 690",Torre única,Apartamento,3,2,104,-23.62770960,-46.74099110,887489,754366,1020610
